clients,K,measured_seconds,fitted_seconds,model_name,data_source
2,128,2.1405509799951687,2.623061984825033,M4,measured
2,512,8.23441115997266,8.157265457817502,M4,measured
2,1024,15.991074109973852,15.53620342180746,M4,measured
2,2048,31.712392645014916,30.294079349787378,M4,measured
2,4096,65.16926721499767,59.80983120574721,M4,measured
4,128,2.341486040013842,3.2567354431259465,M4,measured
4,512,9.275885804987047,10.691959291021156,M4,measured
4,1024,17.765861820033752,20.60559108821477,M4,measured
4,2048,35.45970689000096,40.432854682602,M4,measured
4,4096,70.38531109001488,80.08738187137644,M4,measured
8,128,4.285688839992508,4.524082359727774,M4,measured
8,512,16.070341450010893,15.761346957428465,M4,measured
8,1024,32.588721320021435,30.744366421029387,M4,measured
8,2048,64.0804976949701,60.710405348231234,M4,measured
8,4096,127.6715685550007,120.6424832026349,M4,measured
16,128,6.56179999995511,7.058776192931428,M4,measured
16,512,25.19964734502137,25.900122290243083,M4,measured
16,1024,50.35531073997263,51.02191708665862,M4,measured
16,2048,100.11424517001724,101.2655066794897,M4,measured
16,4096,200.13915368998423,201.75268586515185,M4,measured
32,128,12.654604385001585,12.128163859338736,M4,measured
32,512,48.68140643999213,46.17767295587232,M4,measured
32,1024,96.78252037500496,91.57701841791709,M4,measured
32,2048,179.47376701503526,182.37570934200664,M4,measured
