attack,fpr,mean_tpr,sample_std_tpr
compression_rate,0.0,0.0026041666666666665,0.004510548978043952
compression_rate,0.002,0.0026041666666666665,0.004510548978043952
compression_rate,0.004,0.0078125,0.0078125
compression_rate,0.006,0.0078125,0.0078125
compression_rate,0.008,0.01171875,0.0067658234670659265
compression_rate,0.01,0.01171875,0.0067658234670659265
compression_rate,0.012,0.014322916666666666,0.004510548978043951
compression_rate,0.014,0.014322916666666666,0.004510548978043951
compression_rate,0.016,0.032552083333333336,0.005966895436140417
compression_rate,0.018000000000000002,0.032552083333333336,0.005966895436140417
compression_rate,0.02,0.040364583333333336,0.011276372445109878
compression_rate,0.022,0.040364583333333336,0.011276372445109878
compression_rate,0.024,0.05078125,0.0078125
compression_rate,0.026000000000000002,0.05078125,0.0078125
compression_rate,0.028,0.057291666666666664,0.009830513587592123
compression_rate,0.03,0.057291666666666664,0.009830513587592123
compression_rate,0.032,0.0625,0.014084184669781208
compression_rate,0.034,0.0625,0.014084184669781208
compression_rate,0.036000000000000004,0.06510416666666667,0.011933790872280834
compression_rate,0.038,0.06510416666666667,0.011933790872280834
compression_rate,0.04,0.07421875,0.017026948998205758
compression_rate,0.042,0.07421875,0.017026948998205758
compression_rate,0.044,0.08463541666666667,0.011933790872280834
compression_rate,0.046,0.08463541666666667,0.011933790872280834
compression_rate,0.048,0.09375,0.010334966058846057
compression_rate,0.05,0.09375,0.010334966058846057
compression_rate,0.052000000000000005,0.10026041666666667,0.012556836928376244
compression_rate,0.054,0.10026041666666667,0.012556836928376244
compression_rate,0.056,0.10546875,0.010334966058846057
compression_rate,0.058,0.10546875,0.010334966058846057
compression_rate,0.06,0.109375,0.0067658234670659265
compression_rate,0.062,0.109375,0.0067658234670659265
compression_rate,0.064,0.1171875,0.013531646934131853
compression_rate,0.066,0.1171875,0.013531646934131853
compression_rate,0.068,0.1328125,0.02734375
compression_rate,0.07,0.1328125,0.02734375
compression_rate,0.07200000000000001,0.14322916666666666,0.03367843009473324
compression_rate,0.074,0.14322916666666666,0.03367843009473324
