method_id,attack,roc_auc_mean,roc_auc_sample_std,seed_count
plain_bpe,compression_rate,0.5520273844401041,0.019465941276028367,3
plain_bpe,vocabulary_overlap,0.585357666015625,0.03351006216620691,3
plain_bpe,frequency_estimation,0.6990203857421875,0.039085420946937365,3
plain_bpe,merge_similarity,0.5288187662760416,0.019357843304715634,3
plain_bpe,naive_bayes,0.5755055745442709,0.020818638710438174,3
min_count_2,compression_rate,0.5520070393880209,0.019472446931551264,3
min_count_2,vocabulary_overlap,0.577239990234375,0.03196463927728378,3
min_count_2,frequency_estimation,0.6946640014648438,0.036886082211136366,3
min_count_2,merge_similarity,0.5291798909505209,0.019395957697759193,3
min_count_2,naive_bayes,0.55078125,0.01625868905429807,3
min_count_5,compression_rate,0.5519968668619791,0.019475722854230663,3
min_count_5,vocabulary_overlap,0.5748952229817709,0.031563417746716275,3
min_count_5,frequency_estimation,0.6915206909179688,0.036311368096258415,3
min_count_5,merge_similarity,0.529144287109375,0.019584410561489275,3
min_count_5,naive_bayes,0.5320688883463541,0.011891721013478386,3
min_count_10,compression_rate,0.5519460042317709,0.01951229447185899,3
min_count_10,vocabulary_overlap,0.5731455485026041,0.03228299781805885,3
min_count_10,frequency_estimation,0.6892140706380209,0.03499256657706434,3
min_count_10,merge_similarity,0.5290730794270834,0.019533737342124734,3
min_count_10,naive_bayes,0.5301259358723959,0.011834313220336375,3
he_only_reference,compression_rate,0.5133921305338541,0.021711843144783367,3
he_only_reference,vocabulary_overlap,0.4800059000651042,0.015437621881284419,3
he_only_reference,frequency_estimation,0.5550715128580729,0.026761824084960736,3
he_only_reference,merge_similarity,0.474090576171875,0.030150239745771586,3
he_only_reference,naive_bayes,0.47296905517578125,0.006754074213455694,3
local_dp_eps16p0_C75_b32_K1024,compression_rate,0.50604248046875,0.021895766831651512,3
local_dp_eps16p0_C75_b32_K1024,vocabulary_overlap,0.4747314453125,0.01434641864204933,3
local_dp_eps16p0_C75_b32_K1024,frequency_estimation,0.5029932657877604,0.02215169093318636,3
local_dp_eps16p0_C75_b32_K1024,merge_similarity,0.4895273844401042,0.02156751073733561,3
local_dp_eps16p0_C75_b32_K1024,naive_bayes,0.4647165934244792,0.006485368305941574,3
sa_dp_eps8p0_C75_b32_K1024,compression_rate,0.5067596435546875,0.02216169314684041,3
sa_dp_eps8p0_C75_b32_K1024,vocabulary_overlap,0.4770711263020833,0.012605462255634834,3
sa_dp_eps8p0_C75_b32_K1024,frequency_estimation,0.4944000244140625,0.024605540183039787,3
sa_dp_eps8p0_C75_b32_K1024,merge_similarity,0.4932759602864583,0.026394751646314704,3
sa_dp_eps8p0_C75_b32_K1024,naive_bayes,0.462982177734375,0.008410250871855133,3
sa_dp_eps4p0_C50_b32_K1024,compression_rate,0.5067240397135416,0.02287323187854577,3
sa_dp_eps4p0_C50_b32_K1024,vocabulary_overlap,0.4744974772135417,0.014279213068465755,3
sa_dp_eps4p0_C50_b32_K1024,frequency_estimation,0.4962921142578125,0.023246870300435693,3
sa_dp_eps4p0_C50_b32_K1024,merge_similarity,0.490966796875,0.020256046790860682,3
sa_dp_eps4p0_C50_b32_K1024,naive_bayes,0.4641164143880208,0.006280921154444753,3
