client_count,candidate_dimension,actual_modulus_bits,round_mean_seconds,round_median_seconds,round_sample_std_seconds,round_min_seconds,round_max_seconds,round_ci95_lower_seconds,round_ci95_upper_seconds,encryption_mean_seconds,aggregation_mean_seconds,noise_encryption_mean_seconds,decryption_mean_seconds,selection_mean_seconds,single_client_upstream_bytes,total_client_upstream_bytes,aggregation_to_decryption_bytes,returned_merge_id_bytes,ciphertext_expansion_over_int64,peak_memory_bytes,data_source,model_name,measured_n,source
2,1024,2048,15.991074109973852,16.05986469995696,0.29759299592405153,15.335500699933618,16.47306019999087,15.861437312828203,16.117218501846946,12.50952558000572,0.01618744498118758,2.6797683849581517,0.7844138650223613,0.001175854983739555,524288,1048576,524288,64,64.0,52682752.0,measured,,20,results/final/report_fast/crypto_combined.csv
4,1024,2048,17.765861820033752,17.800699150073342,0.29273260620404,17.242382199969143,18.175868999911472,17.63678958614939,17.891719543161162,14.260165785043501,0.04912441001506522,2.6729367200052367,0.7822970999754034,0.001333649957086891,524288,2097152,524288,64,64.0,73015296.0,measured,,20,results/final/report_fast/crypto_combined.csv
8,1024,2048,32.588721320021435,32.11213960009627,0.8598539373765385,31.881651000119746,34.46783110010438,32.24736420791073,32.977838903775265,28.964377199986483,0.11540611495729536,2.7151342150056736,0.7925167850102298,0.0012826450169086457,524288,4194304,524288,64,64.0,82386944.0,measured,,20,results/final/report_fast/crypto_combined.csv
16,1024,2048,50.35531073997263,49.75048614991829,1.4407369375649228,49.08300799992867,54.34037969983183,49.82381112000789,51.0165554386517,46.61297803499038,0.2541207799920812,2.7107709549949504,0.7761758400010876,0.0012618999928236008,524288,8388608,524288,64,64.0,94535680.0,measured,,20,results/final/report_fast/crypto_combined.csv
32,1024,2048,96.78252037500496,95.97000814997591,1.9446200698201244,95.34190739993937,101.6016881999094,96.0068453009511,97.63025323862763,92.82437668000348,0.5143326000194065,2.6859513699891977,0.7566552849952132,0.0012012349790893496,524288,16777216,524288,64,64.0,115490816.0,measured,,20,results/final/report_fast/crypto_combined.csv
64,1024,2048,172.68722108043403,,,,,130.70551593444608,196.60413033471093,168.544467988605,1.0088203808678997,2.4643097988679328,0.6684073870184659,0.001477632915051802,524288,33554432,524288,64,64.0,,extrapolated,M4,0,results/final/report_fast/crypto_combined.csv
