method_id,mean,sample_standard_deviation,seed_count
plain_bpe,0.9068293542370626,0.00238712946545762,3
min_count_2,0.9063167434227885,0.003616523468265804,3
min_count_5,0.9082035078183592,0.001434344631762604,3
min_count_10,0.9077437157330763,0.0018813327506511967,3
he_only_reference,0.906299332395354,0.0016867667602874841,3
local_dp_eps16p0_C75_b32_K1024,0.9047446148600504,0.0025683692576055285,3
sa_dp_eps8p0_C75_b32_K1024,0.9069274309344019,0.0003133965703915469,3
sa_dp_eps4p0_C50_b32_K1024,0.9045067315054475,0.003926424099379683,3
