method_id,mean,sample_standard_deviation,seed_count
plain_bpe,0.9067982456140351,0.0024837886201346695,3
min_count_2,0.9064912280701755,0.003886222319303295,3
min_count_5,0.9082894736842105,0.0014944495646843062,3
min_count_10,0.9078070175438597,0.001975145657753944,3
he_only_reference,0.9062280701754387,0.001645175380132595,3
local_dp_eps16p0_C75_b32_K1024,0.9049561403508771,0.002434506857259311,3
sa_dp_eps8p0_C75_b32_K1024,0.9070175438596492,0.00042296713864000925,3
sa_dp_eps4p0_C50_b32_K1024,0.9044298245614035,0.003996044905225638,3
