client_count,candidate_dimension,actual_modulus_bits,round_mean_seconds,round_median_seconds,round_sample_std_seconds,round_min_seconds,round_max_seconds,round_ci95_lower_seconds,round_ci95_upper_seconds,encryption_mean_seconds,aggregation_mean_seconds,noise_encryption_mean_seconds,decryption_mean_seconds,selection_mean_seconds,single_client_upstream_bytes,total_client_upstream_bytes,aggregation_to_decryption_bytes,returned_merge_id_bytes,ciphertext_expansion_over_int64,peak_memory_bytes,data_source,model_name,measured_n,source
2,128,2048,2.1405509799951687,2.1300532500026748,0.13474922570728654,1.915125499945134,2.462327100103721,2.0834750817494934,2.198569013605011,1.6476944450056181,0.0022803450119681656,0.3785583299933933,0.1118355399579741,0.0001798250013962388,65536,131072,65536,64,64.0,47128576.0,measured,,20,results/final/report_fast/crypto_combined.csv
2,512,2048,8.23441115997266,8.206994849955663,0.16455907082203197,8.036236499901861,8.668011100031435,8.169450754096616,8.31416873388196,6.479418904997874,0.0076506900019012395,1.347113585018087,0.3995282749645412,0.0006969950278289616,262144,524288,262144,64,64.0,49520640.0,measured,,20,results/final/report_fast/crypto_combined.csv
2,1024,2048,15.991074109973852,16.05986469995696,0.29759299592405153,15.335500699933618,16.47306019999087,15.861437312828203,16.117218501846946,12.50952558000572,0.01618744498118758,2.6797683849581517,0.7844138650223613,0.001175854983739555,524288,1048576,524288,64,64.0,52682752.0,measured,,20,results/final/report_fast/crypto_combined.csv
2,2048,2048,31.712392645014916,31.604088549967855,0.4535030869052831,31.140128400176764,32.76728260004893,31.521795689760765,31.92357414240134,24.754801225021946,0.03271159495925531,5.348818600003142,1.5719028249732219,0.004154944978654385,1048576,2097152,1048576,64,64.0,58155008.0,measured,,20,results/final/report_fast/crypto_combined.csv
2,4096,2048,65.16926721499767,62.959529150044546,4.124586076030957,62.171607200056314,76.16225179983303,63.54892213938729,67.17525293672982,50.872299969976304,0.07311106499982997,11.004720250004903,3.210767275001854,0.008364620024804027,2097152,4194304,2097152,64,64.0,70078464.0,measured,,20,results/final/report_fast/crypto_combined.csv
4,128,2048,2.341486040013842,2.37971590005327,0.1181033310279969,2.1631362000480294,2.5019606999121606,2.2894925849622814,2.3926001627655933,1.8652813250315377,0.00583092994056642,0.3649815299897455,0.1052144950372167,0.0001751650357618928,65536,262144,65536,64,64.0,73015296.0,measured,,20,results/final/report_fast/crypto_combined.csv
4,512,2048,9.275885804987047,9.225957600050606,0.4338264104133634,8.50778380013071,10.303621199913323,9.092086966505448,9.463637169711,7.4589889199705794,0.026490444992668928,1.3822887200280092,0.4074706450221129,0.0006438299780711532,262144,1048576,262144,64,64.0,73015296.0,measured,,20,results/final/report_fast/crypto_combined.csv
4,1024,2048,17.765861820033752,17.800699150073342,0.29273260620404,17.242382199969143,18.175868999911472,17.63678958614939,17.891719543161162,14.260165785043501,0.04912441001506522,2.6729367200052367,0.7822970999754034,0.001333649957086891,524288,2097152,524288,64,64.0,73015296.0,measured,,20,results/final/report_fast/crypto_combined.csv
4,2048,2048,35.45970689000096,35.321675549959764,0.7931941498208398,34.750026600202546,38.28591220011003,35.17214948717505,35.84652083099354,28.414133569947445,0.09904213499976322,5.368150164990221,1.5752947799745016,0.0030814599711447956,1048576,4194304,1048576,64,64.0,73015296.0,measured,,20,results/final/report_fast/crypto_combined.csv
4,4096,2048,70.38531109001488,69.99949620012194,1.279001826100859,69.1942422001157,73.88948230003007,69.88822435090988,70.98235655155469,56.111601354985034,0.19956571500515566,10.872201369982212,3.1949993749847634,0.006938369979616254,2097152,8388608,2097152,64,64.0,82386944.0,measured,,20,results/final/report_fast/crypto_combined.csv
8,128,2048,4.285688839992508,4.260872200015001,0.2698798991684167,3.8890029001049697,4.740504999877885,4.170520587005012,4.400858526605589,3.802103819977492,0.014790560002438724,0.36056019001407547,0.10804854503367096,0.0001812400412745774,65536,524288,65536,64,64.0,82386944.0,measured,,20,results/final/report_fast/crypto_combined.csv
8,512,2048,16.070341450010893,16.168810750124976,0.25595505310292144,15.505805100081488,16.32337859994732,15.946555908292066,16.172723069517815,14.279579495009965,0.05615428502205759,1.3316539050079883,0.4023060800042003,0.0006445050006732344,262144,2097152,262144,64,64.0,82386944.0,measured,,20,results/final/report_fast/crypto_combined.csv
8,1024,2048,32.588721320021435,32.11213960009627,0.8598539373765385,31.881651000119746,34.46783110010438,32.24736420791073,32.977838903775265,28.964377199986483,0.11540611495729536,2.7151342150056736,0.7925167850102298,0.0012826450169086457,524288,4194304,524288,64,64.0,82386944.0,measured,,20,results/final/report_fast/crypto_combined.csv
8,2048,2048,64.0804976949701,63.780236549908295,1.4217388538840003,62.85188299999572,68.35007809987292,63.5610157737229,64.73856917784171,56.923856984998565,0.23114881495712325,5.33684922499815,1.5854194249724969,0.003217494988348335,1048576,8388608,1048576,64,64.0,82386944.0,measured,,20,results/final/report_fast/crypto_combined.csv
8,4096,2048,127.6715685550007,127.27634684997611,1.7582204047208596,125.03498579980806,131.73576060007326,126.95144980420388,128.48971161147725,113.21327078500762,0.4621983849676326,10.830015249992721,3.1491096299956554,0.016970409988425673,2097152,16777216,2097152,64,64.0,94535680.0,measured,,20,results/final/report_fast/crypto_combined.csv
16,128,2048,6.56179999995511,6.534756649984047,0.24455907777991093,6.1092007998377085,7.201643799897283,6.461150783694757,6.6766537638581935,6.080774519988336,0.029213210032321513,0.35001430502161385,0.1016261100070551,0.0001691499724984169,65536,1048576,65536,64,64.0,94535680.0,measured,,20,results/final/report_fast/crypto_combined.csv
16,512,2048,25.19964734502137,25.276794400066137,0.3360113147103143,24.506621399894357,25.714987700106576,25.046739715520815,25.34284419538686,23.311050730024,0.12255884002661332,1.3701451150001958,0.39522490998497234,0.0006630949676036835,262144,4194304,262144,64,64.0,94535680.0,measured,,20,results/final/report_fast/crypto_combined.csv
16,1024,2048,50.35531073997263,49.75048614991829,1.4407369375649228,49.08300799992867,54.34037969983183,49.82381112000789,51.0165554386517,46.61297803499038,0.2541207799920812,2.7107709549949504,0.7761758400010876,0.0012618999928236008,524288,8388608,524288,64,64.0,94535680.0,measured,,20,results/final/report_fast/crypto_combined.csv
16,2048,2048,100.11424517001724,99.22900685004424,1.9264446899244063,97.74161489983089,104.33597570005804,99.39277572180755,100.98862367773197,92.65467546500732,0.49684737998759376,5.425121139967814,1.5334908500080928,0.004106685006991029,1048576,16777216,1048576,64,64.0,94535680.0,measured,,20,results/final/report_fast/crypto_combined.csv
16,4096,2048,200.13915368998423,199.09686265001073,2.3983617129749955,197.1096007998567,204.59123639995232,199.11444697262166,201.19496743763622,185.2489138549892,0.9859731099801138,10.794589010009076,3.1012427699868566,0.008428770012687891,2097152,33554432,2097152,64,64.0,115490816.0,measured,,20,results/final/report_fast/crypto_combined.csv
32,128,2048,12.654604385001585,12.709929449949414,0.5446567716535685,11.873285999987274,14.299478100147098,12.441591259114503,12.907474779023032,12.132340810028836,0.06316936003277078,0.3562158599961549,0.10269960998557508,0.00017575501697137953,65536,2097152,65536,64,64.0,115490816.0,measured,,20,results/final/report_fast/crypto_combined.csv
32,512,2048,48.68140643999213,48.44581429997925,1.1075159712126776,47.70746110007167,52.46083979983814,48.28325824665401,49.23358049396105,46.655266260006464,0.24695969502208753,1.3710553300217725,0.40746152001665903,0.0006605249946005642,262144,8388608,262144,64,64.0,115490816.0,measured,,20,results/final/report_fast/crypto_combined.csv
32,1024,2048,96.78252037500496,95.97000814997591,1.9446200698201244,95.34190739993937,101.6016881999094,96.0068453009511,97.63025323862763,92.82437668000348,0.5143326000194065,2.6859513699891977,0.7566552849952132,0.0012012349790893496,524288,16777216,524288,64,64.0,115490816.0,measured,,20,results/final/report_fast/crypto_combined.csv
32,2048,2048,179.47376701503526,174.92250019998755,10.660809789944222,167.52386939991266,202.35245079989545,175.20113829614684,184.40933197751175,172.0589949649875,0.9662549100001343,5.012316354981158,1.4337057399679907,0.0024916499969549477,1048576,33554432,1048576,64,64.0,115490816.0,measured,,20,results/final/report_fast/crypto_combined.csv
32,4096,2048,363.97309119018576,,,,,321.21839738691733,387.92627095195996,348.6283997557448,1.992271490913639,10.405386814246377,2.9384914727376783,0.007157818668140776,2097152,67108864,2097152,64,64.0,,extrapolated,M4,0,results/final/report_fast/crypto_combined.csv
64,128,2048,22.266939192153355,,,,,13.033802367939867,32.28901696098393,21.74250309217009,0.12614037250027968,0.3106637384029929,0.08817144769346315,0.00014291732566910486,65536,4194304,65536,64,64.0,,extrapolated,M4,0,results/final/report_fast/crypto_combined.csv
64,512,2048,86.73277428713078,,,,,66.56351041789848,102.70977983543835,84.6576309049279,0.5044318046578311,1.2336549071736813,0.33684399311846436,0.0006782752936802338,262144,16777216,262144,64,64.0,,extrapolated,M4,0,results/final/report_fast/crypto_combined.csv
64,1024,2048,172.68722108043403,,,,,130.70551593444608,196.60413033471093,168.544467988605,1.0088203808678997,2.4643097988679328,0.6684073870184659,0.001477632915051802,524288,33554432,524288,64,64.0,,extrapolated,M4,0,results/final/report_fast/crypto_combined.csv
