method_id,attack,roc_auc_mean,roc_auc_sample_std,average_precision_mean,average_precision_sample_std,balanced_accuracy_mean,balanced_accuracy_sample_std,tpr_at_fpr_le_0_01_mean,tpr_at_fpr_le_0_01_sample_std,tpr_at_fpr_le_0_001_mean,tpr_at_fpr_le_0_001_sample_std,seed_count,sources
min_count_10,frequency_estimation,0.6892140706380209,0.03499256657706434,0.7318449098992142,0.02263532393128458,0.6588541666666666,0.016611133883037855,0.17838541666666666,0.03629520798116238,0.125,0.04133986423538423,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/frequency_estimation.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_10/frequency_estimation.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_10/frequency_estimation.json
min_count_10,merge_similarity,0.5290730794270834,0.019533737342124734,0.526473294338785,0.008839723144542733,0.544921875,0.01863162502767472,0.0078125,0.00390625,0.00390625,0.00390625,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/merge_similarity.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_10/merge_similarity.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_10/merge_similarity.json
min_count_10,naive_bayes,0.5301259358723959,0.011834313220336375,0.5638819314967455,0.011634106391138141,0.5455729166666666,0.005966895436140417,0.07421875,0.0078125,0.06380208333333333,0.009021097956087902,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/naive_bayes.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_10/naive_bayes.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_10/naive_bayes.json
min_count_10,vocabulary_overlap,0.5731455485026041,0.03228299781805885,0.5938272013110952,0.024209168974481124,0.5638020833333334,0.02160242190499617,0.05078125,0.02029747040119778,0.026041666666666668,0.01761425684696443,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_10/vocabulary_overlap.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_10/vocabulary_overlap.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_10/vocabulary_overlap.json
min_count_2,compression_rate,0.5520070393880209,0.019472446931551264,0.5584082412445347,0.02364127837766062,0.5559895833333334,0.017722210402104425,0.01171875,0.0067658234670659265,0.0026041666666666665,0.004510548978043951,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/compression_rate.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/compression_rate.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/compression_rate.json
min_count_2,frequency_estimation,0.6946640014648438,0.036886082211136366,0.7368814363615063,0.023825867481257007,0.6627604166666666,0.016611133883037855,0.18619791666666666,0.028793417171218725,0.125,0.04133986423538423,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/frequency_estimation.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/frequency_estimation.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/frequency_estimation.json
min_count_2,merge_similarity,0.5291798909505209,0.019395957697759193,0.5270343714923692,0.010668597168836943,0.54296875,0.01863162502767472,0.0078125,0.00390625,0.00390625,0.00390625,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/merge_similarity.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/merge_similarity.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/merge_similarity.json
min_count_2,naive_bayes,0.55078125,0.01625868905429807,0.5972761878031584,0.010660456424902546,0.55859375,0.0033829117335329633,0.109375,0.014084184669781208,0.10677083333333333,0.013718299157360336,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/naive_bayes.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/naive_bayes.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/naive_bayes.json
min_count_2,vocabulary_overlap,0.577239990234375,0.03196463927728378,0.5993165600314055,0.021642211254540418,0.5670572916666666,0.020515561532016575,0.05859375,0.024394523431243743,0.032552083333333336,0.022211877746395808,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/vocabulary_overlap.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/vocabulary_overlap.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/vocabulary_overlap.json
min_count_5,compression_rate,0.5519968668619791,0.019475722854230663,0.5584045010508679,0.023642123593241568,0.5559895833333334,0.017722210402104425,0.01171875,0.0067658234670659265,0.0026041666666666665,0.004510548978043951,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/compression_rate.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/compression_rate.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/compression_rate.json
min_count_5,frequency_estimation,0.6915206909179688,0.036311368096258415,0.7339091579604814,0.023596908957928854,0.6608072916666666,0.017064247945418172,0.18229166666666666,0.031814561778308895,0.125,0.04133986423538423,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/frequency_estimation.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/frequency_estimation.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/frequency_estimation.json
min_count_5,merge_similarity,0.529144287109375,0.019584410561489275,0.5268783856577254,0.009028434294758577,0.5442708333333334,0.0189697946410592,0.0078125,0.00390625,0.00390625,0.00390625,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/merge_similarity.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/merge_similarity.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/merge_similarity.json
min_count_5,naive_bayes,0.5320688883463541,0.011891721013478386,0.57082685145662,0.007314001672642701,0.5442708333333334,0.00406575390520729,0.08072916666666667,0.0022552744890219755,0.07421875,0.0078125,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/naive_bayes.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/naive_bayes.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/naive_bayes.json
min_count_5,vocabulary_overlap,0.5748952229817709,0.031563417746716275,0.5960388532851542,0.022801605442711582,0.5657552083333334,0.02263715970145014,0.052083333333333336,0.022888536238602795,0.028645833333333332,0.018460217290049253,3,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/vocabulary_overlap.json;results/final/runs/attacks/main/20260727/vocab_16000/min_count_5/vocabulary_overlap.json;results/final/runs/attacks/main/20260728/vocab_16000/min_count_5/vocabulary_overlap.json
plain_bpe,compression_rate,0.5520273844401041,0.019465941276028367,0.5584162722703776,0.023639469408670625,0.5559895833333334,0.017722210402104425,0.01171875,0.0067658234670659265,0.0026041666666666665,0.004510548978043951,3,results/final/runs/attacks/main/20260726/vocab_16000/plain_bpe/compression_rate.json;results/final/runs/attacks/main/20260727/vocab_16000/plain_bpe/compression_rate.json;results/final/runs/attacks/main/20260728/vocab_16000/plain_bpe/compression_rate.json
