method_id,baseline_method_id,seed,attack,candidate_minus_plain_auc,bootstrap_mean_difference,ci95_lower,ci95_upper,bootstrap_iterations,resampling_unit
min_count_10,plain_bpe,20260727,vocabulary_overlap,-0.01165771484375,-0.011725868225097656,-0.01996002197265625,-0.00543174743652344,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260727,frequency_estimation,-0.01221466064453125,-0.012406585693359375,-0.026556777954101562,0.0005805969238281208,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260727,merge_similarity,-0.002716064453125,-0.0027641220092773436,-0.008911895751953124,0.003281402587890621,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260727,naive_bayes,-0.053375244140625,-0.05281182098388672,-0.07577781677246094,-0.031798171997070315,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260728,compression_rate,-6.103515625e-05,-6.093597412109375e-05,-0.0002288818359375,0.0,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260728,vocabulary_overlap,-0.0150299072265625,-0.015139923095703126,-0.0267486572265625,-0.005629348754882819,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260728,frequency_estimation,7.62939453125e-05,8.478546142578125e-05,-0.0006107330322265625,0.00079345703125,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260728,merge_similarity,0.0057525634765625,0.005708839416503906,0.0010372161865234374,0.0105743408203125,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260728,naive_bayes,-0.0472564697265625,-0.04697760772705078,-0.069781494140625,-0.026670074462890637,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260726,compression_rate,-0.035308837890625,-0.035239768981933595,-0.04534912109375,-0.02587852478027344,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260726,vocabulary_overlap,-0.1301116943359375,-0.12850485229492187,-0.20411949157714843,-0.04876670837402344,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260726,frequency_estimation,-0.160125732421875,-0.15995131301879884,-0.20757522583007812,-0.11360111236572266,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260726,merge_similarity,-0.1030120849609375,-0.10296932983398438,-0.19850234985351561,-0.00520935058593755,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260726,naive_bayes,-0.0882415771484375,-0.08815297317504883,-0.1121002197265625,-0.06545600891113283,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260727,compression_rate,-0.042266845703125,-0.04237179565429688,-0.05188140869140625,-0.033461380004882815,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260727,vocabulary_overlap,-0.06121826171875,-0.06105087280273438,-0.09408950805664062,-0.02756233215332037,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260727,frequency_estimation,-0.15767669677734375,-0.15774819946289062,-0.19624671936035157,-0.1195354461669922,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260727,merge_similarity,-0.004852294921875,-0.004987602233886719,-0.027130126953125,0.01701393127441406,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260727,naive_bayes,-0.11646270751953125,-0.11674430084228515,-0.14842300415039061,-0.08820610046386722,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260728,compression_rate,-0.038330078125,-0.03822939300537109,-0.04922637939453125,-0.028104782104492198,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260728,vocabulary_overlap,-0.124725341796875,-0.12478029632568359,-0.2023334503173828,-0.0505645751953126,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260728,frequency_estimation,-0.114044189453125,-0.1134573860168457,-0.15503063201904296,-0.07131500244140627,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260728,merge_similarity,-0.0563201904296875,-0.05781328582763672,-0.14983596801757812,0.0335540771484375,2000,website; paired and stratified by membership
he_only_reference,plain_bpe,20260728,naive_bayes,-0.1029052734375,-0.10301588821411133,-0.13209686279296876,-0.07433261871337891,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260726,compression_rate,-0.042816162109375,-0.04279810333251953,-0.05450439453125,-0.03193588256835938,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260726,vocabulary_overlap,-0.1340484619140625,-0.13341377258300782,-0.21415176391601562,-0.051527404785156425,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260726,frequency_estimation,-0.213226318359375,-0.21368797302246093,-0.2609272003173828,-0.16504898071289065,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260726,merge_similarity,-0.0651397705078125,-0.0659215316772461,-0.13359413146972657,0.0024105072021483563,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260726,naive_bayes,-0.09490966796875,-0.09439372253417969,-0.12078094482421875,-0.06954746246337892,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260727,compression_rate,-0.0482025146484375,-0.048218879699707035,-0.05885505676269531,-0.03800811767578126,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260727,vocabulary_overlap,-0.0677642822265625,-0.06782713317871093,-0.10466041564941406,-0.03361511230468758,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260727,frequency_estimation,-0.2221832275390625,-0.22186672592163087,-0.2680267333984375,-0.1762922286987305,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260727,merge_similarity,0.002105712890625,0.001532135009765625,-0.033279800415039064,0.03617897033691406,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260727,naive_bayes,-0.1236724853515625,-0.12297846984863281,-0.1564485549926758,-0.09321804046630862,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260728,compression_rate,-0.04693603515625,-0.04701095581054687,-0.059358978271484376,-0.035440826416015654,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260728,vocabulary_overlap,-0.13006591796875,-0.1287710494995117,-0.20055885314941407,-0.05535583496093752,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260728,frequency_estimation,-0.15267181396484375,-0.1522470474243164,-0.19812393188476562,-0.10392684936523439,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260728,merge_similarity,-0.054840087890625,-0.05455148315429687,-0.14248924255371093,0.0381622314453125,2000,website; paired and stratified by membership
local_dp_eps16p0_C75_b32_K1024,plain_bpe,20260728,naive_bayes,-0.1137847900390625,-0.11340461730957031,-0.14660987854003907,-0.0828075408935547,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260726,compression_rate,-0.04107666015625,-0.04114906311035156,-0.05242996215820313,-0.03044052124023438,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260726,vocabulary_overlap,-0.1298065185546875,-0.13009664916992186,-0.20980682373046874,-0.05174827575683599,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260726,frequency_estimation,-0.22501373291015625,-0.22427867889404296,-0.27401084899902345,-0.17388744354248048,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260726,merge_similarity,-0.051116943359375,-0.05097992706298828,-0.11935844421386718,0.014837265014648406,2000,website; paired and stratified by membership
sa_dp_eps8p0_C75_b32_K1024,plain_bpe,20260726,naive_bayes,-0.100555419921875,-0.10050039672851563,-0.12597942352294922,-0.07618598937988282,2000,website; paired and stratified by membership
