method_id,mode,epsilon_total,clipping_percentile,batch_merge_size,candidate_pool_size,min_count_threshold,seed,attack,roc_auc,average_precision,balanced_accuracy,tpr_at_fpr_le_0_01,tpr_at_fpr_le_0_001,roc_auc_ci95_lower,roc_auc_ci95_upper,site_count,shadow_count,elapsed_seconds,peak_memory_bytes,source
plain_bpe,plain_bpe,,,1,,0,20260726,compression_rate,0.5732269287109375,0.5836268512369971,0.576171875,0.01953125,0.0,0.5228397369384766,0.6224372863769532,512,0,23.563041599933058,441565184,results/final/runs/attacks/main/20260726/vocab_16000/plain_bpe/compression_rate.json
plain_bpe,plain_bpe,,,1,,0,20260726,vocabulary_overlap,0.59234619140625,0.6302338695568427,0.576171875,0.1015625,0.05859375,0.5444789886474609,0.6407173156738282,512,32,39.56000299996231,441565184,results/final/runs/attacks/main/20260726/vocab_16000/plain_bpe/vocabulary_overlap.json
plain_bpe,plain_bpe,,,1,,0,20260726,frequency_estimation,0.6910018920898438,0.7398504666072865,0.669921875,0.203125,0.109375,0.6449655532836914,0.7359775543212891,512,1,62.41762869991362,441565184,results/final/runs/attacks/main/20260726/vocab_16000/plain_bpe/frequency_estimation.json
plain_bpe,plain_bpe,,,1,,0,20260726,merge_similarity,0.5494842529296875,0.5402522577113232,0.55078125,0.0078125,0.00390625,0.49923400878906254,0.5995193481445312,512,32,5.81174340005964,441565184,results/final/runs/attacks/main/20260726/vocab_16000/plain_bpe/merge_similarity.json
plain_bpe,plain_bpe,,,1,,0,20260726,naive_bayes,0.55389404296875,0.6163585339680167,0.576171875,0.15625,0.15234375,0.5026809692382813,0.6040069580078125,512,0,43.7324131000787,441565184,results/final/runs/attacks/main/20260726/vocab_16000/plain_bpe/naive_bayes.json
plain_bpe,plain_bpe,,,1,,0,20260727,compression_rate,0.5478973388671875,0.5548743455763065,0.548828125,0.0078125,0.0,0.49682464599609377,0.5976127624511718,512,0,20.92932070000097,541822976,results/final/runs/attacks/main/20260727/vocab_16000/plain_bpe/compression_rate.json
plain_bpe,plain_bpe,,,1,,0,20260727,vocabulary_overlap,0.5489044189453125,0.579112731930127,0.546875,0.0546875,0.03515625,0.4991901397705078,0.5996551513671875,512,32,39.589811100042425,541822976,results/final/runs/attacks/main/20260727/vocab_16000/plain_bpe/vocabulary_overlap.json
plain_bpe,plain_bpe,,,1,,0,20260727,frequency_estimation,0.7414932250976562,0.770975896984257,0.68359375,0.25,0.171875,0.6980575561523438,0.7837684631347657,512,1,58.38770690001547,541822976,results/final/runs/attacks/main/20260727/vocab_16000/plain_bpe/frequency_estimation.json
plain_bpe,plain_bpe,,,1,,0,20260727,merge_similarity,0.5111083984375,0.5148107450106925,0.5234375,0.01171875,0.0,0.4614711761474609,0.5609130859375,512,32,5.136178700020537,541822976,results/final/runs/attacks/main/20260727/vocab_16000/plain_bpe/merge_similarity.json
plain_bpe,plain_bpe,,,1,,0,20260727,naive_bayes,0.595428466796875,0.6496422026428259,0.59375,0.1875,0.1875,0.5464927673339843,0.6441650390625,512,0,40.32437269994989,541822976,results/final/runs/attacks/main/20260727/vocab_16000/plain_bpe/naive_bayes.json
plain_bpe,plain_bpe,,,1,,0,20260728,compression_rate,0.5349578857421875,0.5367476199978292,0.54296875,0.0078125,0.0078125,0.4845272064208984,0.5852207183837891,512,0,20.67296570003964,563654656,results/final/runs/attacks/main/20260728/vocab_16000/plain_bpe/compression_rate.json
plain_bpe,plain_bpe,,,1,,0,20260728,vocabulary_overlap,0.6148223876953125,0.6172036112384797,0.595703125,0.046875,0.0078125,0.5665241241455079,0.6628585815429687,512,32,39.12145760003477,563654656,results/final/runs/attacks/main/20260728/vocab_16000/plain_bpe/vocabulary_overlap.json
plain_bpe,plain_bpe,,,1,,0,20260728,frequency_estimation,0.6645660400390625,0.7175206383252083,0.646484375,0.1640625,0.09375,0.6172695159912109,0.7115787506103516,512,1,56.89726190001238,563654656,results/final/runs/attacks/main/20260728/vocab_16000/plain_bpe/frequency_estimation.json
plain_bpe,plain_bpe,,,1,,0,20260728,merge_similarity,0.5258636474609375,0.525455466659092,0.552734375,0.0078125,0.0078125,0.4759059906005859,0.5766452789306641,512,32,5.054584700032137,563654656,results/final/runs/attacks/main/20260728/vocab_16000/plain_bpe/merge_similarity.json
plain_bpe,plain_bpe,,,1,,0,20260728,naive_bayes,0.5771942138671875,0.6424485382236311,0.59375,0.16796875,0.16796875,0.5274341583251954,0.6265167236328124,512,0,39.83760619990062,563654656,results/final/runs/attacks/main/20260728/vocab_16000/plain_bpe/naive_bayes.json
min_count_2,min_count,,,1,,2,20260726,compression_rate,0.5732269287109375,0.5836268512369971,0.576171875,0.01953125,0.0,0.5238182067871093,0.6221775054931641,512,0,21.596439799992368,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/compression_rate.json
min_count_2,min_count,,,1,,2,20260726,vocabulary_overlap,0.58599853515625,0.6163826677193152,0.56640625,0.0859375,0.05078125,0.5362075805664063,0.6357917785644531,512,32,40.875671600108035,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/vocabulary_overlap.json
min_count_2,min_count,,,1,,2,20260726,frequency_estimation,0.6835098266601562,0.7295895799726625,0.662109375,0.17578125,0.109375,0.6374355316162109,0.72900390625,512,1,63.58563700004015,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/frequency_estimation.json
min_count_2,min_count,,,1,,2,20260726,merge_similarity,0.548919677734375,0.5376157194761833,0.552734375,0.00390625,0.00390625,0.4989910125732422,0.5995029449462891,512,32,5.241691599949263,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/merge_similarity.json
min_count_2,min_count,,,1,,2,20260726,naive_bayes,0.5356597900390625,0.5868761287982771,0.5546875,0.11328125,0.10546875,0.4861118316650391,0.5842906951904296,512,0,40.61886289995164,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_2/naive_bayes.json
min_count_2,min_count,,,1,,2,20260727,compression_rate,0.5478363037109375,0.554850252498778,0.548828125,0.0078125,0.0,0.4976795196533203,0.5967716217041016,512,0,20.896092399954796,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/compression_rate.json
min_count_2,min_count,,,1,,2,20260727,vocabulary_overlap,0.54180908203125,0.5749738166182448,0.546875,0.05078125,0.0390625,0.49184875488281254,0.5917823791503907,512,32,39.13187120005023,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/vocabulary_overlap.json
min_count_2,min_count,,,1,,2,20260727,frequency_estimation,0.73583984375,0.7635011231521566,0.6796875,0.21875,0.171875,0.6920764923095704,0.777672004699707,512,1,58.3918166999938,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/frequency_estimation.json
min_count_2,min_count,,,1,,2,20260727,merge_similarity,0.5101470947265625,0.5162806148830207,0.521484375,0.01171875,0.0,0.4600059509277344,0.5607761383056641,512,32,5.2656058999709785,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/merge_similarity.json
min_count_2,min_count,,,1,,2,20260727,naive_bayes,0.5679779052734375,0.6081792349899909,0.560546875,0.12109375,0.12109375,0.5190418243408204,0.6171733856201171,512,0,42.2491862999741,541822976,results/final/runs/attacks/main/20260727/vocab_16000/min_count_2/naive_bayes.json
min_count_2,min_count,,,1,,2,20260728,compression_rate,0.5349578857421875,0.5367476199978292,0.54296875,0.0078125,0.0078125,0.4844509124755859,0.5853584289550782,512,0,20.596663300064392,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/compression_rate.json
min_count_2,min_count,,,1,,2,20260728,vocabulary_overlap,0.603912353515625,0.6065931957566567,0.587890625,0.0390625,0.0078125,0.5567916870117188,0.6521308898925782,512,32,37.75004469999112,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/vocabulary_overlap.json
min_count_2,min_count,,,1,,2,20260728,frequency_estimation,0.664642333984375,0.7175536059596997,0.646484375,0.1640625,0.09375,0.6167137145996093,0.7096345901489257,512,1,57.37975079996977,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/frequency_estimation.json
min_count_2,min_count,,,1,,2,20260728,merge_similarity,0.528472900390625,0.5272067801179037,0.5546875,0.0078125,0.0078125,0.4790325164794922,0.5787052154541016,512,32,4.960863500018604,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/merge_similarity.json
min_count_2,min_count,,,1,,2,20260728,naive_bayes,0.5487060546875,0.5967731996212071,0.560546875,0.09375,0.09375,0.49906768798828127,0.5976421356201171,512,0,39.72252449998632,563654656,results/final/runs/attacks/main/20260728/vocab_16000/min_count_2/naive_bayes.json
min_count_5,min_count,,,1,,5,20260726,compression_rate,0.5732269287109375,0.5836268512369971,0.576171875,0.01953125,0.0,0.523681640625,0.6221622467041016,512,0,25.42059180000797,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/compression_rate.json
min_count_5,min_count,,,1,,5,20260726,vocabulary_overlap,0.584686279296875,0.6134947407100952,0.5625,0.078125,0.04296875,0.5351253509521484,0.6322341918945312,512,32,41.14207900001202,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/vocabulary_overlap.json
min_count_5,min_count,,,1,,5,20260726,frequency_estimation,0.6769790649414062,0.7228912820079504,0.65625,0.16015625,0.109375,0.630401611328125,0.7237247467041016,512,1,58.92481749993749,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/frequency_estimation.json
min_count_5,min_count,,,1,,5,20260726,merge_similarity,0.54791259765625,0.5351644932168089,0.548828125,0.00390625,0.00390625,0.4977409362792969,0.5975513458251953,512,32,5.595281699905172,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/merge_similarity.json
min_count_5,min_count,,,1,,5,20260726,naive_bayes,0.5205078125,0.5623827241655469,0.54296875,0.08203125,0.07421875,0.4692836761474609,0.5706333160400391,512,0,44.69886799994856,441565184,results/final/runs/attacks/main/20260726/vocab_16000/min_count_5/naive_bayes.json
