method_id,seed,accuracy,macro_f1,class_0_f1,class_1_f1,class_2_f1,class_3_f1,best_validation_epoch,best_validation_macro_f1,test_inference_seconds,mean_sequence_length,test_truncated_fraction,training_elapsed_seconds,peak_gpu_memory_bytes,peak_process_memory_bytes,device,source
plain_bpe,20260726,0.9089473684210526,0.908883702724664,0.9202745512143612,0.9599161645271156,0.8769025367156208,0.8784415584415585,3,0.9078174550739257,4.841869700001553,58.817368421052635,0.00039473684210526315,1250.3121611999813,176782336,1308631040,cuda,results/final/downstream/main/plain_bpe/20260726/result.json
plain_bpe,20260727,0.9073684210526316,0.9073937598069919,0.9155080213903743,0.9597280334728033,0.8759427828348505,0.8783962015299394,4,0.907957060223683,4.5402939999476075,58.24657894736842,0.00039473684210526315,1491.2448452999815,176782336,1389830144,cuda,results/final/downstream/main/plain_bpe/20260727/result.json
plain_bpe,20260728,0.9040789473684211,0.9042106001795317,0.9087982832618026,0.9586515670265999,0.8677053076313704,0.8816872427983539,4,0.9100189611046974,4.520937700057402,58.816315789473684,0.00039473684210526315,1451.893220399972,176782336,1389830144,cuda,results/final/downstream/main/plain_bpe/20260728/result.json
min_count_2,20260726,0.9102631578947369,0.9099809447713922,0.9168646080760094,0.960352422907489,0.8765235824059353,0.8861831656961355,3,0.9073864768308181,4.4209346999414265,58.817368421052635,0.00039473684210526315,1196.637940700166,176782336,1389830144,cuda,results/final/downstream/main/min_count_2/20260726/result.json
min_count_2,20260727,0.9067105263157895,0.9062194232401293,0.9129644063393089,0.9588541666666667,0.8683845940703796,0.884674525884162,5,0.9083644402312587,4.454326799837872,58.24657894736842,0.00039473684210526315,1701.8780191999394,176782336,1389830144,cuda,results/final/downstream/main/min_count_2/20260727/result.json
min_count_2,20260728,0.9025,0.9027498622568436,0.9082993197278911,0.9585301837270341,0.868421052631579,0.87574889294087,3,0.9056407309799162,4.530824500136077,58.816315789473684,0.00039473684210526315,1212.79961430002,176782336,1389830144,cuda,results/final/downstream/main/min_count_2/20260728/result.json
min_count_5,20260726,0.9076315789473685,0.9073995522605048,0.9138517936632626,0.9592901878914405,0.874165108201977,0.882291119285339,3,0.9083953649410867,4.499993100063875,58.817368421052635,0.00039473684210526315,1212.698849099921,175384576,1389830144,cuda,results/final/downstream/main/min_count_5/20260726/result.json
min_count_5,20260727,0.91,0.9098595135548745,0.9212660214491237,0.9614476789929189,0.8774365821094793,0.8792877716679759,5,0.9093114101880845,4.508937699953094,58.24657894736842,0.00039473684210526315,1691.3716607999522,175590400,1389830144,cuda,results/final/downstream/main/min_count_5/20260727/result.json
min_count_5,20260728,0.9072368421052631,0.9073514576396984,0.915907873594001,0.9582128777923784,0.8724301528729573,0.8828549262994569,3,0.9067635040867611,4.274259599857032,58.816315789473684,0.00039473684210526315,1195.2479785999749,175477760,1389830144,cuda,results/final/downstream/main/min_count_5/20260728/result.json
min_count_10,20260726,0.9089473684210526,0.9088445921479464,0.9171066525871172,0.9641455116461659,0.8737709274515014,0.880355276907001,7,0.9081091597504451,4.254201699979603,58.817368421052635,0.00039473684210526315,1854.1706393000204,175050752,1389830144,cuda,results/final/downstream/main/min_count_10/20260726/result.json
min_count_10,20260727,0.9089473684210526,0.9088151487468112,0.9159751037344398,0.9638617778950145,0.8735135135135135,0.8819101998442772,5,0.9102146706058725,4.284626499982551,58.24657894736842,0.00039473684210526315,1617.2832215998787,175433728,1389830144,cuda,results/final/downstream/main/min_count_10/20260727/result.json
min_count_10,20260728,0.9055263157894737,0.9055714063044711,0.9102183877055811,0.9602925809822361,0.8744088281660536,0.8773658283640134,3,0.9049136352856016,4.436606300063431,58.816315789473684,0.00039473684210526315,1168.95162539999,175177728,1389830144,cuda,results/final/downstream/main/min_count_10/20260728/result.json
he_only_reference,20260726,0.9078947368421053,0.9080451664802333,0.9156241682193239,0.9644081202214606,0.8737558931377685,0.8783924843423799,5,0.9072250000416995,4.823334800079465,57.99657894736842,0.00039473684210526315,1703.2782620999496,176782336,1389830144,cuda,results/final/downstream/main/he_only_reference/20260726/result.json
he_only_reference,20260727,0.9046052631578947,0.904678598788063,0.9090909090909091,0.9538380374571354,0.8757427021441488,0.8800427464600588,4,0.9072225053357386,4.479905400192365,57.3225,0.00039473684210526315,1430.1127100000158,176782336,1389830144,cuda,results/final/downstream/main/he_only_reference/20260727/result.json
he_only_reference,20260728,0.9061842105263158,0.9061742319177658,0.9113580916237463,0.9594383775351014,0.8731950643213442,0.8807053941908713,3,0.9090262802733983,4.761714400025085,57.56539473684211,0.00039473684210526315,1227.3657709998079,176782336,1389830144,cuda,results/final/downstream/main/he_only_reference/20260728/result.json
local_dp_eps16p0_C75_b32_K1024,20260726,0.905,0.9047312914456781,0.9106493506493506,0.9594771241830066,0.8690317417978127,0.8797669491525424,3,0.910476325656753,4.671530900057405,59.26381578947368,0.00039473684210526315,1242.8872731002048,176782336,1389830144,cuda,results/final/downstream/main/local_dp_eps16p0_C75_b32_K1024/20260726/result.json
